source,source_desc,source_id,target,target_desc,target_id,weight
GeneSym,UniprotACC,GeneID,UniprotACC,Organism,TaxID,weight
FBLN1,P23142,2192,P03126,Human papillomavirus type 16,333760,1
RCN2,Q14257,5955,P03126,Human papillomavirus type 16,333760,1
TNPO1,Q92973,3842,P03126,Human papillomavirus type 16,333760,1
KPNB1,Q14974,3837,P03126,Human papillomavirus type 16,333760,1
KPNA2,P52292,3838,P03126,Human papillomavirus type 16,333760,1
BRCA1,P38398,672,P03126,Human papillomavirus type 16,333760,1
EP300,Q09472,2033,P06463,Human papillomavirus type 18,333761,1
TBP,P20226,6908,P06463,Human papillomavirus type 18,333761,1
PTPN3,P26045,5774,P06463,Human papillomavirus type 18,333761,1
GIPC1,O14908,10755,P06463,Human papillomavirus type 18,333761,1
GOPC,Q9HD26,57120,P06463,Human papillomavirus type 18,333761,1
TYK2,P29597,7297,P06463,Human papillomavirus type 18,333761,1
TP53,P04637,7157,P06463,Human papillomavirus type 18,333761,1
BAK1,Q16611,578,P06463,Human papillomavirus type 18,333761,1
MCM7,P33993,4176,P06463,Human papillomavirus type 18,333761,1
GPS2,Q13227,2874,P06463,Human papillomavirus type 18,333761,1
SCRIB,Q14160,23513,P06463,Human papillomavirus type 18,333761,1
TAX1BP3,O14907,30851,P06463,Human papillomavirus type 18,333761,1
MAGI1,Q96QZ7,9223,P06463,Human papillomavirus type 18,333761,1
DLG1,Q12959,1739,P06463,Human papillomavirus type 18,333761,1
UBE3A,Q05086,7337,P06463,Human papillomavirus type 18,333761,1
FBLN1,P23142,2192,P06463,Human papillomavirus type 18,333761,1
EP300,Q09472,2033,P04019,Human papillomavirus type 11,10580,1
SERTAD1,Q9UHV2,29950,P04019,Human papillomavirus type 11,10580,1
TYK2,P29597,7297,P04019,Human papillomavirus type 11,10580,1
TP53,P04637,7157,P04019,Human papillomavirus type 11,10580,1
BAK1,Q16611,578,P04019,Human papillomavirus type 11,10580,1
MCM7,P33993,4176,P04019,Human papillomavirus type 11,10580,1
GPS2,Q13227,2874,P04019,Human papillomavirus type 11,10580,1
TP73,O15350,7161,P04019,Human papillomavirus type 11,10580,1
MAGI1,Q96QZ7,9223,P04019,Human papillomavirus type 11,10580,1
DLG1,Q12959,1739,P04019,Human papillomavirus type 11,10580,1
UBE3A,Q05086,7337,P04019,Human papillomavirus type 11,10580,1
CREBBP,Q92793,1387,P06462,Human papillomavirus type 6b,10600,1
EP300,Q09472,2033,P06462,Human papillomavirus type 6b,10600,1
SERTAD1,Q9UHV2,29950,P06462,Human papillomavirus type 6b,10600,1
ZYX,Q15942,7791,P06462,Human papillomavirus type 6b,10600,1
MCM7,P33993,4176,P06462,Human papillomavirus type 6b,10600,1
GPS2,Q13227,2874,P06462,Human papillomavirus type 6b,10600,1
MAGI1,Q96QZ7,9223,P06462,Human papillomavirus type 6b,10600,1
DLG1,Q12959,1739,P06462,Human papillomavirus type 6b,10600,1
MCM7,P33993,4176,P26555,Human papillomavirus type 58,10598,1
DAXX,Q9UER7,1616,P03244,Human adenovirus 2,10515,1
TP53,P04637,7157,P03244,Human adenovirus 2,10515,1
DAXX,Q9UER7,1616,P04491,Human adenovirus 12,28282,1
DAXX,Q9UER7,1616,P03243,Human adenovirus 5,28285,1
CTBP1,Q13363,1487,Q69140,Epstein-Barr virus (strain GD1),10376,1
E4F1,Q66K89,1877,Q64770,Fowl adenovirus 1 (strain CELO / Phelps),10553,1
HDAC1,Q13547,3065,Q64770,Fowl adenovirus 1 (strain CELO / Phelps),10553,1
E4F1,Q66K89,1877,Q8V1H6,Hepatitis B virus,10407,1
MKRN1,Q9UHC7,23608,Q8V1H6,Hepatitis B virus,10407,1
DDB1,Q16531,1642,Q8V1H6,Hepatitis B virus,10407,1
L3MBTL3,Q96JM7,84456,Q8V1H6,Hepatitis B virus,10407,1
DDB1,Q16531,1642,P11207,Simian virus 5 (strain W3),11208,1
STAT2,P52630,6773,P11207,Simian virus 5 (strain W3),11208,1
LMNA,P02545,4000,P10215,Human herpesvirus 1 (strain 17),10299,1
LMNA,P02545,4000,P10218,Human herpesvirus 1 (strain 17),10299,1
NAP1L1,P55209,4673,P04296,Human herpesvirus 1 (strain 17),10299,1
PARP1,P09874,142,P04296,Human herpesvirus 1 (strain 17),10299,1
LMNA,P02545,4000,P04296,Human herpesvirus 1 (strain 17),10299,1
ADNP,Q9H2P0,23394,P04296,Human herpesvirus 1 (strain 17),10299,1
SF3B3,Q15393,23450,P04296,Human herpesvirus 1 (strain 17),10299,1
DDX42,Q86XP3,11325,P04296,Human herpesvirus 1 (strain 17),10299,1
IMPDH2,P12268,3615,P04296,Human herpesvirus 1 (strain 17),10299,1
XRCC6,P12956,2547,P04296,Human herpesvirus 1 (strain 17),10299,1
XRCC4,Q13426,7518,P04296,Human herpesvirus 1 (strain 17),10299,1
PCNA,P12004,5111,P04296,Human herpesvirus 1 (strain 17),10299,1
DEK,P35659,7913,P04296,Human herpesvirus 1 (strain 17),10299,1
POLR1A,O95602,25885,P04296,Human herpesvirus 1 (strain 17),10299,1
WRN,Q14191,7486,P04296,Human herpesvirus 1 (strain 17),10299,1
PRKDC,P78527,5591,P04296,Human herpesvirus 1 (strain 17),10299,1
PRPF19,Q9UMS4,27339,P04296,Human herpesvirus 1 (strain 17),10299,1
MSH3,P20585,4437,P04296,Human herpesvirus 1 (strain 17),10299,1
MCM2,P49736,4171,P04296,Human herpesvirus 1 (strain 17),10299,1
RBBP4,Q09028,5928,P04296,Human herpesvirus 1 (strain 17),10299,1
EMD,P50402,2010,P04296,Human herpesvirus 1 (strain 17),10299,1
CHD3,Q12873,1107,P04296,Human herpesvirus 1 (strain 17),10299,1
MRE11A,P49959,4361,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCA1,P28370,6594,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCD1,Q96GM5,6602,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCE1,Q969G3,6605,P04296,Human herpesvirus 1 (strain 17),10299,1
SMC1A,Q14683,8243,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCA5,O60264,8467,P04296,Human herpesvirus 1 (strain 17),10299,1
MSH6,P52701,2956,P04296,Human herpesvirus 1 (strain 17),10299,1
RCOR1,Q9UKL0,23186,P04296,Human herpesvirus 1 (strain 17),10299,1
BLM,P54132,641,P04296,Human herpesvirus 1 (strain 17),10299,1
BTAF1,O14981,9044,P04296,Human herpesvirus 1 (strain 17),10299,1
MSH2,P43246,4436,P04296,Human herpesvirus 1 (strain 17),10299,1
GTF2I,P78347,2969,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCA4,P51532,6597,P04296,Human herpesvirus 1 (strain 17),10299,1
SUPT16H,Q9Y5B9,11198,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCC2,Q8TAQ2,6601,P04296,Human herpesvirus 1 (strain 17),10299,1
SMARCC1,Q92922,6599,P04296,Human herpesvirus 1 (strain 17),10299,1
PPP1CA,P62136,5499,P04296,Human herpesvirus 1 (strain 17),10299,1
HDAC2,Q92769,3066,P04296,Human herpesvirus 1 (strain 17),10299,1
BRCA1,P38398,672,P04296,Human herpesvirus 1 (strain 17),10299,1
USP7,Q93009,7874,P04296,Human herpesvirus 1 (strain 17),10299,1
RUVBL1,Q9Y265,8607,P04296,Human herpesvirus 1 (strain 17),10299,1
SYNCRIP,O60506,10492,P04296,Human herpesvirus 1 (strain 17),10299,1
XRCC5,P13010,7520,P04296,Human herpesvirus 1 (strain 17),10299,1
SF3B1,O75533,23451,P04296,Human herpesvirus 1 (strain 17),10299,1
RAD50,Q92878,10111,P04296,Human herpesvirus 1 (strain 17),10299,1
PPP1CA,P62136,5499,P36313,Human herpesvirus 1 (strain 17),10299,1
PPP1CA,P62136,5499,P30119,Epstein-Barr virus (strain B95-8),10377,1
USP7,Q93009,7874,P08393,Human herpesvirus 1 (strain 17),10299,1
SH3KBP1,Q96B97,30011,P08393,Human herpesvirus 1 (strain 17),10299,1
HDAC3,O15379,8841,P08393,Human herpesvirus 1 (strain 17),10299,1
HDAC4,P56524,9759,P08393,Human herpesvirus 1 (strain 17),10299,1
HDAC7,Q8WUI4,51564,P08393,Human herpesvirus 1 (strain 17),10299,1
HDAC5,Q9UQL6,10014,P08393,Human herpesvirus 1 (strain 17),10299,1
CCND3,P30281,896,P08393,Human herpesvirus 1 (strain 17),10299,1
CBL,P22681,867,P08393,Human herpesvirus 1 (strain 17),10299,1
ARHGEF10L,Q9HCE6,55160,P29882,Epstein-Barr virus (strain B95-8),10377,1
PICK1,Q9NRD5,9463,P29882,Epstein-Barr virus (strain B95-8),10377,1
CSNK2A1,P68400,1457,P03211,Epstein-Barr virus (strain B95-8),10377,1
NAP1L1,P55209,4673,P03211,Epstein-Barr virus (strain B95-8),10377,1
PICK1,Q9NRD5,9463,P03211,Epstein-Barr virus (strain B95-8),10377,1
KPNA1,P52294,3836,P03211,Epstein-Barr virus (strain B95-8),10377,1
KPNA2,P52292,3838,P03211,Epstein-Barr virus (strain B95-8),10377,1
USP7,Q93009,7874,P03211,Epstein-Barr virus (strain B95-8),10377,1
SRSF1,Q07955,6426,P03211,Epstein-Barr virus (strain B95-8),10377,1
C1QBP,Q07021,708,P03211,Epstein-Barr virus (strain B95-8),10377,1
TERF2,Q15554,7014,P03211,Epstein-Barr virus (strain B95-8),10377,1
ORC2,Q13416,4999,P03211,Epstein-Barr virus (strain B95-8),10377,1
MDFI,Q99750,4188,P03211,Epstein-Barr virus (strain B95-8),10377,1
CSNK2A2,P19784,1459,P03211,Epstein-Barr virus (strain B95-8),10377,1
EBNA1BP2,Q99848,10969,P03211,Epstein-Barr virus (strain B95-8),10377,1
TSG101,Q99816,7251,P03211,Epstein-Barr virus (strain B95-8),10377,1
KPNB1,Q14974,3837,O92837,Simian virus 40,10633,1
KPNA2,P52292,3838,O92837,Simian virus 40,10633,1
SP1,P08047,6667,O92837,Simian virus 40,10633,1
PARP1,P09874,142,O92837,Simian virus 40,10633,1
KPNB1,Q14974,3837,P03087,Simian virus 40,10633,1
KPNA2,P52292,3838,P03087,Simian virus 40,10633,1
SP1,P08047,6667,P03087,Simian virus 40,10633,1
PARP1,P09874,142,P03087,Simian virus 40,10633,1
IPO5,O00410,3843,P03101,Human papillomavirus type 16,333760,1
TNPO1,Q92973,3842,P03101,Human papillomavirus type 16,333760,1
KPNB1,Q14974,3837,P03101,Human papillomavirus type 16,333760,1
KPNA2,P52292,3838,P03101,Human papillomavirus type 16,333760,1
IPO5,O00410,3843,P04012,Human papillomavirus type 11,10580,1
TNPO1,Q92973,3842,P04012,Human papillomavirus type 11,10580,1
KPNA2,P52292,3838,P04012,Human papillomavirus type 11,10580,1
TNPO1,Q92973,3842,P36741,Human papillomavirus type 45,10593,1
PATZ1,Q9HBE1,23598,P03107,Human papillomavirus type 16,333760,1
TINAGL1,Q9GZM7,64129,P03107,Human papillomavirus type 16,333760,1
MAN2B1,O00754,4125,P03107,Human papillomavirus type 16,333760,1
GADD45GIP1,Q8TAE8,90480,P03107,Human papillomavirus type 16,333760,1
IPO5,O00410,3843,P03107,Human papillomavirus type 16,333760,1
TNPO1,Q92973,3842,P03107,Human papillomavirus type 16,333760,1
KPNB1,Q14974,3837,P03107,Human papillomavirus type 16,333760,1
KPNA2,P52292,3838,P03107,Human papillomavirus type 16,333760,1
PATZ1,Q9HBE1,23598,P04013,Human papillomavirus type 11,10580,1
TINAGL1,Q9GZM7,64129,P04013,Human papillomavirus type 11,10580,1
MAN2B1,O00754,4125,P04013,Human papillomavirus type 11,10580,1
GADD45GIP1,Q8TAE8,90480,P04013,Human papillomavirus type 11,10580,1
PATZ1,Q9HBE1,23598,P03105,Human papillomavirus type 1a,10583,1
TINAGL1,Q9GZM7,64129,P03105,Human papillomavirus type 1a,10583,1
PML,P29590,5371,P04489,Human adenovirus 5,28285,1
RPA2,P15927,6118,P04489,Human adenovirus 5,28285,1
RPA2,P15927,6118,P03265,Human adenovirus 5,28285,1
ATR,Q13535,545,P03265,Human adenovirus 5,28285,1
ATRIP,Q8WXE1,84126,P03265,Human adenovirus 5,28285,1
GZMB,P10144,3002,P03265,Human adenovirus 5,28285,1
TOPBP1,Q92547,11073,P03265,Human adenovirus 5,28285,1
JUND,P17535,3727,Q7LYY4,Human T-lymphotropic virus 1,11908,1
ENOX2,Q16206,10495,P03206,Epstein-Barr virus (strain B95-8),10377,1
GPRASP1,Q5JY77,9737,P03206,Epstein-Barr virus (strain B95-8),10377,1
ARMCX5-GPRASP2,Q96D09,100528062,P03219,Epstein-Barr virus (strain B95-8),10377,1
TSC22D4,Q9Y3Q8,81628,P03219,Epstein-Barr virus (strain B95-8),10377,1
ENOX2,Q16206,10495,P03219,Epstein-Barr virus (strain B95-8),10377,1
GPRASP1,Q5JY77,9737,P03219,Epstein-Barr virus (strain B95-8),10377,1
RABAC1,Q9UI14,10567,P03230,Epstein-Barr virus (strain B95-8),10377,1
TRADD,Q15628,8717,P03230,Epstein-Barr virus (strain B95-8),10377,1
ZMYND11,Q15326,10771,P03230,Epstein-Barr virus (strain B95-8),10377,1
EGFL7,Q9UHF1,51162,P03230,Epstein-Barr virus (strain B95-8),10377,1
TRAF2,Q12933,7186,P88961,Human herpesvirus 8,37296,1
IKBKG,Q9Y6K9,8517,P88961,Human herpesvirus 8,37296,1
HLA-A,P30443,3105,P06927,Human papillomavirus type 16,333760,1
ATP6V0A1,Q53X12,535,P06927,Human papillomavirus type 16,333760,1
GRN,P28799,2896,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
CCHCR1,Q8TD31,54535,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
GAPDH,P04406,2597,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
HLA-B,P01889,3106,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
IGLL1,P15814,3543,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
NUCB2,P80303,4925,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
CIR1,Q86X95,9541,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
RPL3,P39023,6122,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
CERS4,Q9HA82,79603,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
HBB,P68871,3043,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
CD74,P04233,972,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
HLA-A,P30443,3105,Q1HVH9,Epstein-Barr virus (strain GD1),10376,1
DNAJA3,Q96EY1,9093,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
TAF1,P21675,6872,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NAP1L1,P55209,4673,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
JUN,P05412,3725,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PKM,P14618,5315,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
ACTN1,P12814,87,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
SERTAD1,Q9UHV2,29950,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PICK1,Q9NRD5,9463,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KPNA1,P52294,3836,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DDX3X,O00571,1654,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LMNB1,P20700,4001,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
SLIT2,O94813,9353,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
STAT3,P40763,6774,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GNB2,P62879,2783,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GLYR1,Q49A26,84656,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GOLGA2,Q08379,2801,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GON4L,Q3T8J9,54856,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GIN1,Q9NXP7,54826,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GFAP,P14136,2670,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
HIVEP2,P31629,3097,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
HOXD8,P13378,3234,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GBP2,P32456,2634,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
HSFX2,Q9UBD0,100130086,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
INF2,Q27J81,64423,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
INO80E,Q8NBZ0,283899,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
GAA,P10253,2548,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
ITGAL,P20701,3683,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
ITGB1,P05556,3688,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FXYD6-FXYD2,Q9H0Q3,100533181,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FUCA2,Q9BTY2,2519,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FTH1,P02794,2495,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FRS3,O43559,10817,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FRMPD4,Q14CM0,9758,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
JAG2,Q9Y219,3714,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KANSL2,Q9H9L4,54934,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KIAA1549,Q9HCM3,57670,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KIAA2022,Q5QGS0,340533,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FLAD1,Q8NFF5,80308,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KIF17,Q9P2E2,57576,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
KIF7,Q2M1P5,374654,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FIGNL1,Q6PIW4,63979,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FHL2,Q14192,2274,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FES,P07332,2242,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LAMA5,O15230,3911,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LAMC3,Q9Y6N6,10319,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LDB1,Q86U70,8861,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FBN3,Q75N90,84467,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FBN1,P35555,2200,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LIMS2,Q7Z4I7,55679,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LPXN,O60711,9404,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LRRC7,Q96NW7,57554,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FBF1,Q8TES7,85302,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FAM65A,Q6ZS17,79567,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FAM208B,Q5VWN6,54906,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FAM178A,Q8IX21,55719,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LRRCC1,Q9C099,85444,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FAM135A,Q9P2D6,57579,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
FAM120B,Q96EK7,84498,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
LRRTM1,Q86UE6,347730,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MEGF6,O75095,1953,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MEGF8,Q7Z7M0,1954,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MLLT4,P55196,4301,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MLXIP,Q9HAP2,22877,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MOB1A,Q9H8S9,55233,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MORC4,Q8TE76,79710,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
ELAC2,Q9BQ52,60528,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
EIF4ENIF1,Q9NRA8,56478,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MORF4L1,Q9UBU8,10933,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MSANTD3,Q96H12,91283,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
EIF1,P41567,10209,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
MVP,Q14764,9961,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NAP1L2,Q9ULW6,4674,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NCAN,O14594,1463,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
EEF1A1,P68104,1915,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NDC80,O14777,10403,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NEFL,P07196,4747,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NEFM,P07197,4741,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NELL1,Q92832,4745,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NELL2,Q99435,4753,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NFE2,Q16621,4778,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NID1,P14543,4811,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NID2,Q14112,22795,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DPP7,Q9UHL4,29952,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DPF1,Q92782,8193,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DOCK7,Q96N67,85440,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NOTCH1,P46531,4851,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
AEBP1,Q8IUX7,165,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
NUP62,P37198,23636,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
OBSCN,Q5VST9,84033,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PABPN1,Q86U42,8106,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DLAT,P10515,1737,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PAK4,O96013,10298,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PARVG,Q9HBI0,64098,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DES,P17661,1674,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PCYT2,Q99447,5833,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DEAF1,O75398,10522,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PDE4DIP,Q5VU43,9659,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PDLIM5,Q96HC4,10611,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DDX3Y,O15523,8653,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PFN1,P07737,5216,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PKNOX1,P55347,5316,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PLEKHG4,Q58EX7,25894,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
DCAF6,Q58WW2,55827,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PMVK,Q15126,10654,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PNPLA8,Q9NP80,50640,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
POU3F2,P20265,5454,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PPP1R13L,Q8WUF5,10848,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CTGF,P29279,1490,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PRRC1,Q96M27,133619,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PSMA6,P60900,5687,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PSMB9,P28065,5698,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
AGRN,O00468,375790,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
PTPRN2,Q92932,5799,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RABEP1,Q15276,9135,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CREB3,O43889,10488,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RAI14,Q9P0K7,26064,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
COX3,P00414,4514,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CORO1B,Q9BR76,57175,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
COL4A2,P08572,1284,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RASAL2,Q9UJF2,9462,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RBM4,Q9BWF3,5936,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RCN3,Q96D15,57333,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RINT1,Q6NUQ1,60561,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CHPF,Q8IZ52,79586,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
ROGDI,Q9GZN7,79641,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RPL18A,Q02543,6142,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CFP,P27918,5199,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
RRBP1,Q9P2E9,6238,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CEP85,Q6P2H3,64793,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CEP68,Q76N32,23177,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CEP63,Q96MT8,80254,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
CEP250,Q9BV73,11190,Q9WMX2,Hepatitis C virus genotype 1b (isolate Con1),333284,1
